event_name,event_category
birthday,historical
anniversary,historical
lohri,fixed_festival
makar sankranti,fixed_festival
pongal,fixed_festival
republic day,fixed_festival
christmas,fixed_festival
new year,fixed_festival
independence day,fixed_festival
gandhi jayanti,fixed_festival
baisakhi,fixed_festival
onam,fixed_festival
maha shivratri,variable_festival
holi,variable_festival
eid ul-fitr,variable_festival
eid ul-adha,variable_festival
janmashtami,variable_festival
raksha bandhan,variable_festival
ganesh chaturthi,variable_festival
navratri,variable_festival
dussehra,variable_festival
diwali,variable_festival
guru nanak jayanti,variable_festival
